epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.25182482600212097,2.366581916809082,0.001,0.42015647888183594,1.6637165546417236
1,0.42493587732315063,1.668310523033142,0.001,0.5048320293426514,1.3798174858093262
2,0.5292957425117493,1.3318272829055786,0.001,0.5991716384887695,1.0420832633972168
3,0.5577036738395691,1.1870129108428955,0.001,0.6106764674186707,0.9846563339233398
4,0.6020911335945129,1.0769097805023193,0.001,0.65117347240448,0.8658314943313599
5,0.6169856190681458,1.0261150598526,0.001,0.6677404642105103,0.8710543513298035
6,0.6442099213600159,0.946319580078125,0.001,0.7340083122253418,0.7185872793197632
7,0.6582165956497192,0.9020773768424988,0.001,0.7436723709106445,0.6631270051002502
8,0.6656145453453064,0.8627855777740479,0.001,0.7482742667198181,0.6911156177520752
9,0.68366539478302,0.8155027031898499,0.001,0.7800276279449463,0.5835655331611633
10,0.7002367377281189,0.7798109650611877,0.001,0.7726645469665527,0.6028041243553162
11,0.710199236869812,0.7510467171669006,0.001,0.7464334964752197,0.6159122586250305
12,0.7207536101341248,0.7119964957237244,0.001,0.8053382635116577,0.5036621689796448
13,0.7321956753730774,0.6792963147163391,0.001,0.7524160146713257,0.5889630317687988
14,0.7463997006416321,0.6628631353378296,0.001,0.802116870880127,0.4762513339519501
15,0.7510356903076172,0.6363394856452942,0.001,0.7878509163856506,0.5237905979156494
16,0.7560662627220154,0.6139628887176514,0.001,0.8214449882507324,0.44545885920524597
17,0.7680015563964844,0.5873830318450928,0.001,0.8085595965385437,0.45182016491889954
18,0.7687906622886658,0.5668838620185852,0.001,0.8320294618606567,0.41529381275177
19,0.7744131088256836,0.5469594597816467,0.001,0.8357110023498535,0.43297824263572693
20,0.7799368500709534,0.5373551249504089,0.001,0.845835268497467,0.38603392243385315
21,0.7895048260688782,0.5247094631195068,0.001,0.8531983494758606,0.3798414468765259
22,0.7992700934410095,0.49994900822639465,0.001,0.8329498171806335,0.39171335101127625
23,0.808739423751831,0.48137110471725464,0.001,0.8633226156234741,0.35304170846939087
24,0.8057802319526672,0.47491371631622314,0.001,0.857800304889679,0.344029039144516
25,0.8131781220436096,0.46140584349632263,0.001,0.8559594750404358,0.35166698694229126
26,0.8187019228935242,0.44920873641967773,0.001,0.8403129577636719,0.3801926374435425
27,0.826888918876648,0.44183236360549927,0.001,0.8647031784057617,0.32608291506767273
28,0.8311303853988647,0.41353362798690796,0.001,0.8637827634811401,0.33313196897506714
29,0.8400079011917114,0.4014252722263336,0.001,0.8743672370910645,0.3137964606285095
30,0.8346813917160034,0.40337520837783813,0.001,0.8670041561126709,0.32442012429237366
31,0.8380351066589355,0.39349666237831116,0.001,0.8872526288032532,0.28925806283950806
32,0.8449398279190063,0.37330666184425354,0.001,0.875747799873352,0.3085033595561981
33,0.8496744632720947,0.3704240620136261,0.001,0.8867924809455872,0.2874714434146881
34,0.8527323007583618,0.3599907457828522,0.001,0.8766682147979736,0.2847670316696167
35,0.8523377180099487,0.3605310618877411,0.001,0.8780487775802612,0.30284932255744934
36,0.8545078039169312,0.35440778732299805,0.001,0.8536585569381714,0.3462570309638977
37,0.8600315451622009,0.33630022406578064,0.001,0.9047399759292603,0.250410795211792
38,0.8650621175765991,0.3245840072631836,0.001,0.8881730437278748,0.2749427855014801
39,0.8684158325195312,0.3220697343349457,0.001,0.8872526288032532,0.2732454240322113
