epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.14845137298107147,2.8065316677093506,0.001,0.2669121026992798,2.323057174682617
1,0.2428486943244934,2.322859287261963,0.001,0.37321674823760986,1.8222302198410034
2,0.2882225215435028,2.0852527618408203,0.001,0.3410032093524933,2.1457111835479736
3,0.3269875645637512,1.948188066482544,0.001,0.3428439795970917,1.7497446537017822
4,0.3462221324443817,1.862292766571045,0.001,0.46203404664993286,1.5005290508270264
5,0.36792266368865967,1.811190128326416,0.001,0.46111366152763367,1.4438626766204834
6,0.3793647587299347,1.7441647052764893,0.001,0.5273814797401428,1.4124146699905396
7,0.3951469659805298,1.7063498497009277,0.001,0.5361251831054688,1.4296059608459473
8,0.40215033292770386,1.6849309206008911,0.001,0.4836631417274475,1.4035742282867432
9,0.4073781669139862,1.6537227630615234,0.001,0.5936493277549744,1.3251086473464966
10,0.42059576511383057,1.6085578203201294,0.001,0.5614358186721802,1.2645949125289917
11,0.4338133633136749,1.587761402130127,0.001,0.5821444988250732,1.2153995037078857
12,0.4423949420452118,1.5657055377960205,0.001,0.6433501839637756,1.1249834299087524
13,0.4514697194099426,1.535115361213684,0.001,0.6520938873291016,1.0781407356262207
14,0.4507792592048645,1.5326329469680786,0.001,0.645190954208374,1.0119333267211914
15,0.46103766560554504,1.4912054538726807,0.001,0.6332259774208069,1.0949956178665161
16,0.46863287687301636,1.4658690690994263,0.001,0.6695812344551086,1.0182840824127197
17,0.48293548822402954,1.4340968132019043,0.001,0.6695812344551086,0.9936270713806152
18,0.49408167600631714,1.4042320251464844,0.001,0.6617579460144043,1.0394104719161987
19,0.49516668915748596,1.394291639328003,0.001,0.6231017112731934,1.079472303390503
20,0.5044387578964233,1.3700923919677734,0.001,0.6962724328041077,0.9569017291069031
21,0.5118366479873657,1.348267674446106,0.001,0.5927289724349976,1.0541123151779175
22,0.520220935344696,1.3335341215133667,0.001,0.671422004699707,0.9697712659835815
23,0.5334385633468628,1.321541428565979,0.001,0.6999539732933044,0.8884139657020569
24,0.5360031723976135,1.282011866569519,0.001,0.6958122253417969,0.9040728211402893
25,0.5360031723976135,1.2750346660614014,0.001,0.650713324546814,0.9815966486930847
26,0.5482343435287476,1.2463151216506958,0.001,0.7054762840270996,0.8669663667678833
27,0.5524758100509644,1.2467129230499268,0.001,0.6364473104476929,0.9363648295402527
28,0.5538567900657654,1.218931794166565,0.001,0.6916704773902893,0.8574241995811462
29,0.5561254620552063,1.2103651762008667,0.001,0.7151403427124023,0.8766811490058899
30,0.5638192892074585,1.2073283195495605,0.001,0.7169811129570007,0.8240249752998352
31,0.5713158249855042,1.1770172119140625,0.001,0.7091578245162964,0.8696157336235046
32,0.5687512159347534,1.1691081523895264,0.001,0.6935112476348877,0.8325351476669312
33,0.5743736624717712,1.1373026371002197,0.001,0.713299572467804,0.8446047306060791
34,0.576938271522522,1.1442831754684448,0.001,0.6755637526512146,0.8683570623397827
35,0.5860130190849304,1.1369584798812866,0.001,0.7109985947608948,0.8108582496643066
36,0.5775300860404968,1.135628581047058,0.001,0.7271053791046143,0.7758209705352783
37,0.5830538272857666,1.1129201650619507,0.001,0.7381500005722046,0.7882838845252991
38,0.5911422371864319,1.1077892780303955,0.001,0.7179015278816223,0.7768809199333191
39,0.5943973064422607,1.0836994647979736,0.001,0.7266451716423035,0.7606205940246582
