epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2095087766647339,2.5055277347564697,0.001,0.40450990200042725,1.8327131271362305
1,0.34336161613464355,1.890127420425415,0.001,0.4891854524612427,1.4360159635543823
2,0.4466364085674286,1.58293879032135,0.001,0.6226415038108826,1.2568403482437134
3,0.49013611674308777,1.4170341491699219,0.001,0.6539346575737,1.048971176147461
4,0.5338330864906311,1.2735787630081177,0.001,0.6778647303581238,0.9905803203582764
5,0.5668770670890808,1.193696141242981,0.001,0.6645190715789795,0.8876103758811951
6,0.5809824466705322,1.127034068107605,0.001,0.7330878973007202,0.8331434726715088
7,0.6066285371780396,1.0514293909072876,0.001,0.7077772617340088,0.7808618545532227
8,0.6228052973747253,1.0048348903656006,0.001,0.7450529336929321,0.7319168448448181
9,0.6477609276771545,0.9354427456855774,0.001,0.7745053172111511,0.6650925278663635
10,0.6609784960746765,0.8889545798301697,0.001,0.7781868577003479,0.6551393866539001
11,0.67409747838974,0.8641424179077148,0.001,0.7243442535400391,0.7297389507293701
12,0.6870191097259521,0.8157359957695007,0.001,0.798895537853241,0.5896978378295898
13,0.6968830227851868,0.7960172295570374,0.001,0.7768062353134155,0.5932453274726868
14,0.7043795585632324,0.7751396298408508,0.001,0.8053382635116577,0.5746139883995056
15,0.7160189151763916,0.7571338415145874,0.001,0.8159226775169373,0.573337733745575
16,0.725784182548523,0.7183536291122437,0.001,0.8186838626861572,0.5163449645042419
17,0.7346616983413696,0.6926150321960449,0.001,0.7919926643371582,0.582548975944519
18,0.7385085821151733,0.6801356077194214,0.001,0.8140819072723389,0.51138836145401
19,0.740678608417511,0.6682178378105164,0.001,0.8242061734199524,0.4847128391265869
20,0.7572499513626099,0.6382439136505127,0.001,0.8039576411247253,0.5180366039276123
21,0.7625764608383179,0.6224400997161865,0.001,0.8122411370277405,0.5090782642364502
22,0.7669165730476379,0.6007634401321411,0.001,0.8154624700546265,0.5156620144844055
23,0.7708621025085449,0.595295250415802,0.001,0.8343304395675659,0.44162341952323914
24,0.7779641151428223,0.5663720965385437,0.001,0.8301886916160583,0.43790915608406067
25,0.7821069359779358,0.5581734776496887,0.001,0.8389323353767395,0.4549168050289154
26,0.7863484025001526,0.541682243347168,0.001,0.8499770164489746,0.42222708463668823
27,0.8000591993331909,0.5201922655105591,0.001,0.8393925428390503,0.4078105688095093
28,0.80301833152771,0.5067108273506165,0.001,0.8361712098121643,0.4264245927333832
29,0.8015387654304504,0.5094936490058899,0.001,0.8605614304542542,0.38094836473464966
30,0.8078516721725464,0.5009992122650146,0.001,0.845835268497467,0.39125168323516846
31,0.8106135129928589,0.4900710880756378,0.001,0.8762080073356628,0.41618314385414124
32,0.8135727047920227,0.4791705906391144,0.001,0.8449148535728455,0.4018055200576782
33,0.8218583464622498,0.4667162597179413,0.001,0.8647031784057617,0.391676664352417
34,0.814953625202179,0.46740490198135376,0.001,0.8545789122581482,0.38122716546058655
35,0.8357664346694946,0.42087090015411377,0.0005,0.8702254891395569,0.3351614773273468
36,0.8421779274940491,0.4150884747505188,0.0005,0.8665439486503601,0.3584333062171936
37,0.8400079011917114,0.40890172123908997,0.0005,0.8688449263572693,0.34966644644737244
38,0.8452357649803162,0.40162473917007446,0.0005,0.8605614304542542,0.37033742666244507
39,0.841882050037384,0.4044593870639801,0.0005,0.8739070296287537,0.353807657957077
