snr_db,test_accuracy,accuracy_drop,clean_accuracy
0,6.074551492929459,88.21905478835106,94.29360628128052
5,15.232397615909576,79.06120866537094,94.29360628128052
10,31.431201100349426,62.86240518093109,94.29360628128052
15,72.80257940292358,21.491026878356934,94.29360628128052
20,89.093416929245,5.2001893520355225,94.29360628128052
25,92.68292784690857,1.6106784343719482,94.29360628128052
30,93.60331296920776,0.6902933120727539,94.29360628128052
