experiment_id,seed,growth_rate,compression,depth,batch_size,resolution,test_accuracy,test_loss,macro_f1,val_accuracy,total_params,model_size_kb,memory_mb,inference_ms,throughput_fps,machine,ablation_group
arch_gr4_c0.25_d2_2_2,42,4,0.25,"(2, 2, 2)",5,64,68.29268336296082,0.8350086808204651,66.0449977423323,72.15830683708191,3594,14.0390625,0.04113006591796875,0.9877257980406284,1012.4267301549885,jupyter-himanshuk,architecture
arch_gr4_c0.25_d2_2_2,123,4,0.25,"(2, 2, 2)",5,64,73.49286675453186,0.7636601328849792,73.98696553103892,73.81500005722046,3594,14.0390625,0.04113006591796875,1.0480494238436222,954.1534752555796,jupyter-himanshuk,architecture
arch_gr4_c0.25_d3_3_3,42,4,0.25,"(3, 3, 3)",5,64,79.93557453155518,0.5560920238494873,80.72681254331292,79.8895537853241,6056,23.65625,0.069305419921875,1.216595619916916,821.9658065744904,jupyter-himanshuk,architecture
arch_gr4_c0.25_d3_3_3,123,4,0.25,"(3, 3, 3)",5,64,79.38334345817566,0.5878040194511414,79.8820348960791,79.65945601463318,6056,23.65625,0.069305419921875,1.2221293523907661,818.2439919667833,jupyter-himanshuk,architecture
arch_gr4_c0.25_d4_4_4,42,4,0.25,"(4, 4, 4)",5,64,87.02254891395569,0.3207884430885315,87.99142569258859,87.2526466846466,9388,36.671875,0.1074371337890625,1.3821082189679146,723.5323444836666,jupyter-himanshuk,architecture
arch_gr4_c0.25_d4_4_4,123,4,0.25,"(4, 4, 4)",5,64,84.5835268497467,0.45393866300582886,85.43960471718385,85.04371643066406,9388,36.671875,0.1074371337890625,1.4163041487336159,706.0630309486469,jupyter-himanshuk,architecture
arch_gr4_c0.5_d2_2_2,42,4,0.5,"(2, 2, 2)",5,64,80.25770783424377,0.5081411004066467,81.99487880911603,85.13575792312622,5156,20.140625,0.0590057373046875,0.9969905950129032,1003.0184888424728,jupyter-himanshuk,architecture
arch_gr4_c0.5_d2_2_2,123,4,0.5,"(2, 2, 2)",5,64,82.834792137146,0.46954572200775146,83.55126601177362,84.03129577636719,5156,20.140625,0.0590057373046875,1.1311635375022888,884.0454689762103,jupyter-himanshuk,architecture
arch_gr4_c0.5_d3_3_3,42,4,0.5,"(3, 3, 3)",5,64,87.20662593841553,0.36279377341270447,88.16320900602003,87.8508985042572,8714,34.0390625,0.09972381591796875,1.3331208378076553,750.119547785721,jupyter-himanshuk,architecture
arch_gr4_c0.5_d3_3_3,123,4,0.5,"(3, 3, 3)",5,64,86.70041561126709,0.352175235748291,87.99733289718557,87.98895478248596,8714,34.0390625,0.09972381591796875,1.384023204445839,722.5312384848335,jupyter-himanshuk,architecture
arch_gr4_c0.5_d4_4_4,42,4,0.5,"(4, 4, 4)",5,64,91.21030569076538,0.2358209192752838,92.15170222251487,91.21030569076538,13204,51.578125,0.1511077880859375,1.5108207240700722,661.8919002554137,jupyter-himanshuk,architecture
arch_gr4_c0.5_d4_4_4,123,4,0.5,"(4, 4, 4)",5,64,89.87574577331543,0.2539953589439392,91.12988828496177,90.47399759292603,13204,51.578125,0.1511077880859375,1.4088735915720463,709.7868864758706,jupyter-himanshuk,architecture
arch_gr4_c0.75_d2_2_2,42,4,0.75,"(2, 2, 2)",5,64,85.5039119720459,0.394454687833786,86.50152794263364,87.16060519218445,7070,27.6171875,0.08090972900390625,0.9854521602392197,1014.762603754655,jupyter-himanshuk,architecture
arch_gr4_c0.75_d2_2_2,123,4,0.75,"(2, 2, 2)",5,64,87.43672370910645,0.34174323081970215,88.57645495372951,87.62080073356628,7070,27.6171875,0.08090972900390625,1.0387678630650043,962.6789926378591,jupyter-himanshuk,architecture
arch_gr4_c0.75_d3_3_3,42,4,0.75,"(3, 3, 3)",5,64,91.16429090499878,0.23893286287784576,91.87019109155366,90.88817238807678,11860,46.328125,0.1357269287109375,1.2674779631197453,788.9683521902185,jupyter-himanshuk,architecture
arch_gr4_c0.75_d3_3_3,123,4,0.75,"(3, 3, 3)",5,64,88.40312957763672,0.2882225811481476,89.52035235590905,89.59963321685791,11860,46.328125,0.1357269287109375,1.2672481127083302,789.1114533702682,jupyter-himanshuk,architecture
arch_gr4_c0.75_d4_4_4,42,4,0.75,"(4, 4, 4)",5,64,92.49885082244873,0.21204577386379242,93.37492802442995,92.40680932998657,18092,70.671875,0.2070465087890625,1.3635815121233463,733.3628324446969,jupyter-himanshuk,architecture
arch_gr4_c0.75_d4_4_4,123,4,0.75,"(4, 4, 4)",5,64,92.54487156867981,0.1891343593597412,93.22346247311958,93.87943148612976,18092,70.671875,0.2070465087890625,1.4126947149634361,707.8670213796917,jupyter-himanshuk,architecture
arch_gr8_c0.25_d2_2_2,42,8,0.25,"(2, 2, 2)",5,64,86.1021637916565,0.40939149260520935,87.19603369047034,86.93051338195801,8092,31.609375,0.0926055908203125,1.0055441409349442,994.4864270903222,jupyter-himanshuk,architecture
arch_gr8_c0.25_d2_2_2,123,8,0.25,"(2, 2, 2)",5,64,85.68798899650574,0.39649698138237,86.49372327074305,86.60837411880493,8092,31.609375,0.0926055908203125,0.9970621205866337,1002.9465359807649,jupyter-himanshuk,architecture
arch_gr8_c0.25_d3_3_3,42,8,0.25,"(3, 3, 3)",5,64,91.7165219783783,0.24857914447784424,92.56960017849286,92.13069677352905,15556,60.765625,0.1780242919921875,1.2426636181771755,804.7230041761976,jupyter-himanshuk,architecture
arch_gr8_c0.25_d3_3_3,123,8,0.25,"(3, 3, 3)",5,64,88.95536065101624,0.27062976360321045,90.15092253440459,90.10584354400635,15556,60.765625,0.1780242919921875,1.2439903803169727,803.8647370771442,jupyter-himanshuk,architecture
arch_gr8_c0.25_d4_4_4,42,8,0.25,"(4, 4, 4)",5,64,94.01748776435852,0.1691286861896515,94.59224534221234,93.97146701812744,25900,101.171875,0.2964019775390625,1.3841892592608929,722.4445597374191,jupyter-himanshuk,architecture
arch_gr8_c0.25_d4_4_4,123,8,0.25,"(4, 4, 4)",5,64,94.0635085105896,0.15769629180431366,94.5640455426955,94.29360628128052,25900,101.171875,0.2964019775390625,1.3811981305480003,724.009088835968,jupyter-himanshuk,architecture
arch_gr8_c0.5_d2_2_2,42,8,0.5,"(2, 2, 2)",5,64,91.34836792945862,0.24896082282066345,92.04083796961588,91.34836792945862,11764,45.953125,0.1346282958984375,1.0101724416017532,989.9299949366828,jupyter-himanshuk,architecture
arch_gr8_c0.5_d2_2_2,123,8,0.5,"(2, 2, 2)",5,64,89.73768949508667,0.25643351674079895,90.83123144630166,90.56603908538818,11764,45.953125,0.1346282958984375,1.183848548680544,844.7026447044667,jupyter-himanshuk,architecture
arch_gr8_c0.5_d3_3_3,42,8,0.5,"(3, 3, 3)",5,64,95.30602693557739,0.1397714614868164,95.82918109167534,95.58214545249939,22556,88.109375,0.2581329345703125,1.2191236950457096,820.2613106970299,jupyter-himanshuk,architecture
arch_gr8_c0.5_d3_3_3,123,8,0.5,"(3, 3, 3)",5,64,94.61573958396912,0.15562164783477783,95.09127392080214,95.21399140357971,22556,88.109375,0.2581329345703125,1.2531896121799946,797.9638438435849,jupyter-himanshuk,architecture
arch_gr8_c0.5_d4_4_4,42,8,0.5,"(4, 4, 4)",5,64,96.59457206726074,0.10594203323125839,96.91476272790446,96.77864909172058,36900,144.140625,0.4222869873046875,1.6501340083777905,606.0113875133557,jupyter-himanshuk,architecture
arch_gr8_c0.5_d4_4_4,123,8,0.5,"(4, 4, 4)",5,64,95.35204768180847,0.12864172458648682,95.84690553290204,96.77864909172058,36900,144.140625,0.4222869873046875,1.4369659125804901,695.9107319422834,jupyter-himanshuk,architecture
arch_gr8_c0.75_d2_2_2,42,8,0.75,"(2, 2, 2)",5,64,92.77496337890625,0.18791206181049347,93.43286246223097,92.68292784690857,16476,64.359375,0.1885528564453125,0.9916298091411591,1008.4408423200694,jupyter-himanshuk,architecture
arch_gr8_c0.75_d2_2_2,123,8,0.75,"(2, 2, 2)",5,64,90.75011610984802,0.21461857855319977,91.91052438397472,93.69535446166992,16476,64.359375,0.1885528564453125,0.9987483732402325,1001.253195292531,jupyter-himanshuk,architecture
arch_gr8_c0.75_d3_3_3,42,8,0.75,"(3, 3, 3)",5,64,96.4565098285675,0.1162433996796608,96.82262296358033,96.18039727210999,31076,121.390625,0.3556365966796875,1.2486321851611137,800.8763604559558,jupyter-himanshuk,architecture
arch_gr8_c0.75_d3_3_3,123,8,0.75,"(3, 3, 3)",5,64,95.12194991111755,0.12227533757686615,95.61291609944047,96.04233503341675,31076,121.390625,0.3556365966796875,1.2601069174706936,793.5834540192952,jupyter-himanshuk,architecture
arch_gr8_c0.75_d4_4_4,42,8,0.75,"(4, 4, 4)",5,64,97.10078239440918,0.08341465890407562,97.33630398320607,97.74505496025085,50708,198.078125,0.5803070068359375,1.4621161855757236,683.9401751142228,jupyter-himanshuk,architecture
arch_gr8_c0.75_d4_4_4,123,8,0.75,"(4, 4, 4)",5,64,96.36447429656982,0.10347328335046768,96.75573405635875,97.19282388687134,50708,198.078125,0.5803070068359375,1.6810270957648754,594.8744089368739,jupyter-himanshuk,architecture
arch_gr12_c0.25_d2_2_2,42,12,0.25,"(2, 2, 2)",5,64,90.5200183391571,0.2626188099384308,91.53615754577,90.15186429023743,13980,54.609375,0.1599884033203125,1.0052810423076153,994.7467005888296,jupyter-himanshuk,architecture
arch_gr12_c0.25_d2_2_2,123,12,0.25,"(2, 2, 2)",5,64,88.08099627494812,0.26250505447387695,89.56648959009598,87.98895478248596,13980,54.609375,0.1599884033203125,1.0029650293290615,997.0437360801652,jupyter-himanshuk,architecture
arch_gr12_c0.25_d3_3_3,42,12,0.25,"(3, 3, 3)",5,64,94.7077751159668,0.15147614479064941,95.3601597490693,93.69535446166992,29352,114.65625,0.335906982421875,1.2354942969977856,809.3926474852781,jupyter-himanshuk,architecture
