epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.31179720163345337,2.130126476287842,0.001,0.49010583758354187,1.3506606817245483
1,0.5289998054504395,1.3569610118865967,0.001,0.6645190715789795,0.9435492753982544
2,0.6230025887489319,1.028448462486267,0.001,0.6663598418235779,0.9477419853210449
3,0.6689682602882385,0.8674856424331665,0.001,0.7620800733566284,0.6258520483970642
4,0.7055632472038269,0.7616581320762634,0.001,0.7229636311531067,0.7092509269714355
5,0.7252910137176514,0.6956309080123901,0.001,0.7128393650054932,0.7017027735710144
6,0.7411718368530273,0.6451717019081116,0.001,0.8127013444900513,0.48044413328170776
7,0.7601104974746704,0.6017970442771912,0.001,0.8094799518585205,0.4551798105239868
8,0.7707634568214417,0.5472152829170227,0.001,0.8660837411880493,0.41679951548576355
9,0.7940422296524048,0.5102818608283997,0.001,0.8693051338195801,0.36162009835243225
10,0.7953245043754578,0.4910033047199249,0.001,0.8591808676719666,0.36931249499320984
11,0.8103176355361938,0.47061461210250854,0.001,0.8697652816772461,0.3467397689819336
12,0.8211678862571716,0.43315979838371277,0.001,0.8725264668464661,0.31635740399360657
13,0.8319194912910461,0.4110433757305145,0.001,0.8904740214347839,0.28345271944999695
14,0.8317222595214844,0.398967981338501,0.001,0.8794293403625488,0.29318466782569885
15,0.8377391695976257,0.38935568928718567,0.001,0.8720662593841553,0.3194044232368469
16,0.8464193940162659,0.3682452440261841,0.001,0.8863322734832764,0.2707545757293701
17,0.8536200523376465,0.35533273220062256,0.001,0.9047399759292603,0.25099122524261475
18,0.8558887243270874,0.34970834851264954,0.001,0.8900138139724731,0.2676791846752167
19,0.8649635314941406,0.32853806018829346,0.001,0.9213069677352905,0.25673285126686096
20,0.8646675944328308,0.32182809710502625,0.001,0.9005982279777527,0.24038535356521606
21,0.8679226636886597,0.3109021782875061,0.001,0.881730318069458,0.27949032187461853
22,0.8746300935745239,0.3022460341453552,0.001,0.8568798899650574,0.3361453711986542
23,0.8801538944244385,0.2946825623512268,0.001,0.9194661974906921,0.20951354503631592
24,0.8797593116760254,0.28754791617393494,0.001,0.9323515892028809,0.20447316765785217
25,0.885578989982605,0.27361759543418884,0.001,0.9157846570014954,0.22646349668502808
26,0.8862695097923279,0.274203360080719,0.001,0.8840312957763672,0.2800939679145813
27,0.8924837112426758,0.2624998688697815,0.001,0.9277496337890625,0.1937241554260254
28,0.8974156379699707,0.24820318818092346,0.001,0.9295904040336609,0.23364876210689545
29,0.8985993266105652,0.24841587245464325,0.001,0.9484583735466003,0.16877608001232147
30,0.8993884325027466,0.2454812079668045,0.001,0.9305108189582825,0.2061605155467987
31,0.9051094651222229,0.23209498822689056,0.001,0.9176254272460938,0.21454022824764252
32,0.9063917994499207,0.22934354841709137,0.001,0.940635085105896,0.15813349187374115
33,0.9116196632385254,0.22084255516529083,0.001,0.93465256690979,0.17590229213237762
34,0.9100414514541626,0.22168423235416412,0.001,0.9415554404258728,0.1768193393945694
35,0.9088577628135681,0.22023271024227142,0.001,0.947077751159668,0.16674943268299103
36,0.9207930564880371,0.20365150272846222,0.001,0.941095232963562,0.18281537294387817
37,0.9222726225852966,0.19155828654766083,0.001,0.9475379586219788,0.15846490859985352
38,0.9351943135261536,0.1680130958557129,0.0005,0.9544408917427063,0.14537020027637482
39,0.9381535053253174,0.15882205963134766,0.0005,0.941095232963562,0.1488892138004303
