epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.3077529966831207,2.17798113822937,0.001,0.49286699295043945,1.4620903730392456
1,0.517557680606842,1.4014794826507568,0.001,0.7156005501747131,0.9140653014183044
2,0.6235944032669067,1.0374438762664795,0.001,0.7455131411552429,0.745183527469635
3,0.672716498374939,0.8684731721878052,0.001,0.7478140592575073,0.659652590751648
4,0.7064509987831116,0.7596702575683594,0.001,0.7731246948242188,0.5710024237632751
5,0.7242059707641602,0.6826873421669006,0.001,0.7303267121315002,0.6459621787071228
6,0.7432432174682617,0.6397536993026733,0.001,0.8288081288337708,0.4837539792060852
7,0.7560662627220154,0.5947091579437256,0.001,0.8113207817077637,0.43911677598953247
8,0.7682974934577942,0.5605803728103638,0.001,0.8232857584953308,0.44463053345680237
9,0.788419783115387,0.5184875726699829,0.001,0.8251265287399292,0.4480518400669098
10,0.7983823418617249,0.4930002987384796,0.001,0.8541187047958374,0.3603110909461975
11,0.8002564311027527,0.4795691668987274,0.001,0.8789691925048828,0.3334859609603882
12,0.812290370464325,0.4501895308494568,0.001,0.8725264668464661,0.3286827802658081
13,0.8249161839485168,0.4287221133708954,0.001,0.875747799873352,0.3216544985771179
14,0.8315249681472778,0.4068320095539093,0.001,0.8725264668464661,0.3103124499320984
15,0.8422765731811523,0.3867388069629669,0.001,0.8729866743087769,0.3106038570404053
16,0.8427698016166687,0.3756251037120819,0.001,0.8794293403625488,0.2901076078414917
17,0.8506608605384827,0.3670085668563843,0.001,0.881730318069458,0.29037490487098694
18,0.8537186980247498,0.3580384850502014,0.001,0.9065807461738586,0.2716091573238373
19,0.859045147895813,0.34270399808883667,0.001,0.9028992056846619,0.2506522238254547
20,0.8648648858070374,0.32067519426345825,0.001,0.9190059900283813,0.22835154831409454
21,0.8662458062171936,0.31453248858451843,0.001,0.907961368560791,0.2612869143486023
22,0.875024676322937,0.3082019090652466,0.001,0.8959963321685791,0.27514010667800903
23,0.8729532361030579,0.3001955449581146,0.001,0.884951651096344,0.28549522161483765
24,0.8778851628303528,0.2895434498786926,0.001,0.9194661974906921,0.2127465158700943
25,0.8777865171432495,0.2870848774909973,0.001,0.9176254272460938,0.2464766502380371
26,0.8888341188430786,0.27348074316978455,0.001,0.9309710264205933,0.20348021388053894
27,0.8887354731559753,0.2674958109855652,0.001,0.905200183391571,0.22987547516822815
28,0.897514283657074,0.2521030008792877,0.001,0.920386552810669,0.20420289039611816
29,0.8985006809234619,0.24872179329395294,0.001,0.9295904040336609,0.20607377588748932
30,0.9025448560714722,0.23878392577171326,0.001,0.9397146701812744,0.17549638450145721
31,0.9073781967163086,0.22513456642627716,0.001,0.9447768330574036,0.17272846400737762
32,0.9097455143928528,0.22774551808834076,0.001,0.9199263453483582,0.23108644783496857
33,0.9141842722892761,0.22422069311141968,0.001,0.9236078858375549,0.1884116679430008
34,0.9182284474372864,0.21074089407920837,0.001,0.9544408917427063,0.15427260100841522
35,0.918721616268158,0.20520539581775665,0.001,0.9415554404258728,0.17581850290298462
36,0.9269086718559265,0.19817203283309937,0.001,0.9369535446166992,0.17033660411834717
37,0.9260209202766418,0.19992010295391083,0.001,0.940635085105896,0.15206484496593475
38,0.9285855293273926,0.18911859393119812,0.001,0.9618039727210999,0.1375056654214859
39,0.9312487840652466,0.18371069431304932,0.001,0.9475379586219788,0.14144234359264374
